


A.  .plot_1.curve_1.y_data (newton)
B.  .plot_1.curve_2.y_data (newton)
C.  .plot_1.curve_3.y_data (newton)
D.  .plot_1.curve_4.y_data (newton)

       A               B               C               D         
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    3.381698E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    4.216619E+00    0.000000E+00    0.000000E+00   
 0.000000E+00    1.042472E+01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.305110E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.051456E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.110758E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    1.006986E-01    0.000000E+00    0.000000E+00   
 0.000000E+00    9.094574E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    7.995835E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    6.967816E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    5.881857E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    4.678530E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    3.460697E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.518540E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    2.950035E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.439346E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    3.249876E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    8.751377E-04    0.000000E+00    0.000000E+00   
 0.000000E+00    6.867937E-03    0.000000E+00    0.000000E+00   
 0.000000E+00    5.260148E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.481859E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    1.784743E-02    0.000000E+00    0.000000E+00   
 0.000000E+00    8.044042E-03    0.000000E+00    0.000000E+00   
 1.596384E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 1.725040E-03    0.000000E+00    0.000000E+00    0.000000E+00   
 1.794556E-02    0.000000E+00    0.000000E+00    0.000000E+00   
 8.391653E-03    0.000000E+00    0.000000E+00    0.000000E+00   
